time_s,EMG_ch1_uV,EMG_ch2_uV
9.438,-0.608738653106359,6.70050927557651
9.4385,10.9512565675939,6.49268707978817
9.439,26.4591600281802,1.53268412178269
9.4395,45.6490630721662,10.2138636183843
9.44,65.7367358869687,39.2740754925583
9.4405,78.3040529531201,70.3623625494031
9.441,75.0882268291546,80.0912274449324
9.4415,55.9174889515918,67.3309119607129
9.442,25.5254208973875,47.7970341854941
9.4425,-14.9922072148152,26.0150244281491
9.443,-65.5902317685646,-10.0841433177335
9.4435,-117.580422451657,-64.4739087384382
9.444,-156.343710381138,-119.312940333037
9.4445,-175.136879473061,-153.503156286413
9.445,-177.528876694888,-163.221415596386
9.4455,-165.012041533539,-156.219030470416
9.446,-133.017116608597,-136.749316694362
9.4465,-83.5693468650247,-106.79459820459
9.447,-31.7406663648533,-74.7545529608723
9.4475,7.77425688037479,-51.5931351458462
9.448,33.847446249078,-41.2054932047558
9.4485,53.0415386148459,-41.2918012345716
9.449,67.965582245675,-48.6463198159346
9.4495,78.4081039573149,-56.8355965034505
9.45,87.1591959738018,-55.5754062103983
9.4505,95.9953715941119,-41.8518846822552
9.451,100.184487573041,-26.3682335157385
9.4515,94.7165062217023,-19.8694676621268
9.452,82.3811401717788,-19.4444384483579
9.4525,68.9650657018105,-18.9946517095999
9.453,55.3783750748165,-24.5585628894873
9.4535,43.0392527133944,-41.2548459638156
9.454,42.4152469902614,-48.7046185456599
9.4545,64.3871247082555,-12.6150584359751
9.455,102.566455254615,70.8678192008237
9.4555,133.539656211884,158.464929383883
9.456,137.485756318775,198.917616274652
9.4565,113.355844778122,180.1877121188
9.457,73.3083545131445,130.476011003852
9.4575,28.1473195576375,83.014601091775
9.458,-20.0460330526897,50.4257417304322
9.4585,-74.5168479812064,26.1363669969226
9.459,-133.785617508001,-1.27908692130382
9.4595,-184.066665337613,-33.2053311473049
9.46,-206.827378242299,-53.2389985688897
9.4605,-199.559128764335,-39.1429132869441
9.461,-183.946852993905,8.93133329999788
9.4615,-183.848125247172,57.3431602173755
9.462,-196.938496407083,67.9034693163689
9.4625,-197.859941678895,37.3102310011064
9.463,-169.104833836031,-1.739472923906
9.4635,-118.526884067552,-17.8303790575991
9.464,-64.9583676162168,-8.48860996325907
9.4645,-17.6835818653421,9.93104489018032
9.465,24.7640658346649,26.3441783540401
9.4655,64.5895249561834,40.5967247053749
9.466,101.385998907652,53.1977574299054
9.4665,134.533501671414,60.7913904546697
9.467,163.069814635945,61.8620929656462
9.4675,184.964701829058,59.8390471204375
9.468,198.597686864295,57.9226161008169
9.4685,201.677235127937,53.8933736738236
9.469,188.682200655595,42.6137237582983
9.4695,156.806787662285,23.4036284006692
9.47,117.366377587705,3.51800405261136
9.4705,92.6079775615254,-7.2112155364662
9.471,93.3907763248633,-5.91742010411624
9.4715,104.38078018919,0.114254332043349
9.472,98.7519227284655,0.783128096867761
9.4725,65.552948130478,-7.73163636570251
9.473,17.0460766299598,-22.6451078710692
9.4735,-28.0303741426738,-40.6027026505793
9.474,-60.9163391217781,-59.6856099013138
9.4745,-82.902464368047,-76.1905515309424
9.475,-96.6216781671372,-84.9028400026877
